! Date:	24-Apr-25
!Time:	19:02
! User Name:	Aditya
! Sample Name:	CBS_Pt
! Sample ID:	D51_SiO2 Substrate
! Current Source:	Keithley_6221_Delta
! LockIn Specifications:
!LockIn Input Voltage (V)=	
!LockIn Input Frequency (Hz)=	
!Time Constant for Zi LockIn  1st Harmonic (s)=	
!Time Constant for Zi LockIn 2nd Harmonic (s)=	
!Time Constant of SR7265=	
!Time Constant of SR7225=	
! Measuring Insturment 1:	
! Measuring Insturment 1:	
! U1, th1 (volts):	
! U2, th2 (volts):	
! U3, th3 (volts):	
! U4 , th4(volts):	
! U5, th5 (volts):	
! Comments:	


! 
! 
date	time	Hx (T)	Hy (T)	Hz (T)	U1	th1	U2 (V)	th2	Av_HP34420A_10points (V)	Std_HP34420A_10points	Std_DeltaVolatge	Std_DeltaVolatge	U5(V)	th5	Tcryo (K)	Tsample (K)	Heater Power (%)	
24-Apr-25	19:02:43	1.000000E-5	-7.000000E-5	1.650000E-4	-1.360000E-5	2.180000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
24-Apr-25	19:02:44	1.000000E-5	-7.000000E-5	1.355000E-3	-1.360000E-5	2.175000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
24-Apr-25	19:02:44	1.000000E-5	-7.000000E-5	2.945000E-3	-1.360000E-5	2.175000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
24-Apr-25	19:02:45	1.000000E-5	-7.000000E-5	4.530000E-3	-1.365000E-5	2.175000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
24-Apr-25	19:02:46	1.000000E-5	-7.000000E-5	6.745000E-3	-1.365000E-5	2.180000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
24-Apr-25	19:02:46	1.000000E-5	-7.000000E-5	8.490000E-3	-1.365000E-5	2.175000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
24-Apr-25	19:02:47	1.000000E-5	-7.000000E-5	9.945000E-3	-1.365000E-5	2.175000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
24-Apr-25	19:02:47	1.000000E-5	-7.000000E-5	1.151000E-2	-1.365000E-5	2.180000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
24-Apr-25	19:02:48	1.000000E-5	-7.000000E-5	1.325000E-2	-1.360000E-5	2.170000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
24-Apr-25	19:02:48	1.000000E-5	-7.000000E-5	1.536000E-2	-1.360000E-5	2.175000E-5	2.710000E-3	2.000000E-5	0.000000E+0	0.000000E+0	1.964247E-4	2.976042E-9	0.000000E+0	0.000000E+0	1.999959E+1	0.000000E+0	4.000000E+0
